Company,Fine_Amount,Date,Sector,Type,Country,Authority,Source_URL,PDF_URL
und auf mögliche Renditeerwartungen für Anleger in dieser Aktie zulassen. Hinreichende Rückschlüsse,,2022-09-30,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgce-2022-09-30-13-kap-116,
Hintersitzlehnen ausschließlich für ihre eigenen Y.-Fahrzeugmodelle verpflichtet. Der Rahmenvertrag,,2020-02-05,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2020-02-05-u-kart-419,
Wegen der weiteren Einzelheiten wird auf den in Ablichtung zur Akte gereichten Arbeitsvertrag Bezug,,2022-03-09,Arbeitsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lagd-2022-03-09-12-sa-35121,
Wegen der weiteren Einzelheiten wird auf den in Ablichtung zur Akte gereichten Arbeitsvertrag Bezug,,2022-03-09,Arbeitsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lagd-2022-03-09-12-sa-35221,
Wegen der weiteren Einzelheiten wird auf den in Ablichtung zur Akte gereichten Arbeitsvertrag Bezug,,2022-03-09,Arbeitsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lagd-2022-03-09-12-sa-35021,
auf der Basis entsprechender Planungen des Kunden S. DAC final getroffen worden. Jedenfalls erfasse,,2022-12-15,Arbeitsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lagd-2022-12-15-12-sa-34721,
zu einer Absetzung des Angeklagten Dr. F. als Geschäftsführer und ärztlichem Leiter der M. GOB GmbH,,2019-03-11,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-hamburg-2019-03-11-618-kls-217,
so dass sich daraus ein theoretischer letzter EoP auf der Basis der aktuellen Vertragsverhältnisse,,2020-12-08,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgce-2020-12-08-13-u-6519-kart,
Selbst wenn es sich bei der hier in Rede stehenden Klausel jedoch um von der V D Fonds-Projekt GmbH,,2022-04-06,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgham-2022-04-06-8-u-7312,
in einer dem Parlamentsvorbehalt und dem Wesentlichkeitsgrundsatz grundsätzlich genügenden Weise,,2022-06-02,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-06-02-1-s-92620,
hätte damit möglicherweise gegen seine Verschwiegenheitsverpflichtung aus dem Forderungskaufvertrag,,2019-04-16,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-hamburg-2019-04-16-411-hko-1417,
Stachus. Er war zur fraglichen Zeit hell erleuchtet. Sonnenuntergang am Verhandlungstag,,2018-12-20,Ordentliche Gerichtsbarkeit,Endurteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-munchen-ii-2018-12-20-7-o-1049517,
Stachus. Er war zur fraglichen Zeit hell erleuchtet. Sonnenuntergang am Verhandlungstag,,2018-12-20,Ordentliche Gerichtsbarkeit,Endurteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-munchen-ii-2018-12-20-7-o-1049617,
ob es sich bei der von der Eignungsleiherin angegebenen Referenz um einen Dienstleistungsauftrag,,2021-10-28,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgsh-2021-10-28-54-verg-521,
ihrer Tätigkeit in vollem Umfange nachzugehen. Die Ausübung des Grundrechts war ihr damit teilweise,,2022-06-02,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-06-02-1-s-106720,
ihrer Tätigkeit in vollem Umfange nachzugehen. Die Ausübung des Grundrechts war ihr damit teilweise,,2022-06-02,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-06-02-1-s-107920,
wenn die beseitigungspflichtigen Behörden - auch gerade im Hinblick auf die Erfahrungen mit der BSE,,2021-04-23,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2021-04-23-2-s-262818,
so dass ein Verschließen der Türen gereicht hätte. Soweit defekte Feuer- und Rauchschutzabschlüsse,,2021-10-06,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-gelsenkirchen-2021-10-06-10-k-1051217,
dass der Rechtsstreit in der Hauptsache hinsichtlich eines mit dem erstinstanzlichen Klageantrag,,2021-10-22,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lagni-2021-10-22-16-sa-76120,
bersendung keinen Anspruch gehabt. Sie sei insoweit nicht Auftraggeberin gewesen. Neben dem Auftrag,,2019-01-24,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-hamburg-2019-01-24-326-o-22713,
betrifft die dritte Stufe Messwerte von Zellen anderer Technologie und damit auch XXZ-Zellen. Diese,,2019-03-22,,Teil-Verzichts- und Schlussurteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2019-03-22-2-u-3116,
UWG zu. Denn durch die Übersendung des Anschreibens gemäß der Klageanlage hat er in anderer Weise,,2019-11-29,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-hamburg-2019-11-29-312-o-57715,
erheblich schlechter seien als bei allen vorherigen Erschließungsmaßnahmen. Dieses Argument vermag,,2022-02-23,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/ovgni-2022-02-23-9-lb-40719,
hlte Bezeichnung aber hinsichtlich der damaligen Betreibergesellschaft. Nach unwiderlegtem Vortrag,,2019-07-04,,Teil-Grund- und Teilurteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgham-2019-07-04-22-u-5816,
um in dieser Zeit ausschließlich die Aufarbeitung der Rückstände anzugehen. Diesem Lösungsvorschlag,,2020-05-28,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-stuttgart-2020-05-28-14-k-2029017,
gerade der jeweilige Leasingnehmer durch den ungewollten Vertragsschluss in sittenwidriger Weise,,2019-12-10,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgham-2019-12-10-13-u-8618,
dass sich die bereits festgestellten Nachteile und Gesundheitsgefahren verstärken könnten und lasse,,2019-06-25,Verwaltungsgerichtsbarkeit,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/ovgsn-2019-06-25-2-m-4219,
sei die forstrechtliche Ausgleichsbilanz aktualisiert worden. Im Rahmen der zweiten Anhörungsphase,,2021-04-12,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-karlsruhe-2021-04-12-9-k-320319,
indem - wie vorliegend erfolgt - Pflichten zur Verwertung und Beseitigung von Abfällen nur in Bezug,,2022-04-29,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-karlsruhe-2022-04-29-9-k-453620,
gerin allerdings nicht dargetan. Das Landgericht hat in seinem den Tatbestandsberichtigungsantrag,,2019-05-09,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2019-05-09-2-u-6618,
sich mit angemessenem Wohnraum zu versorgen. Insbesondere wanderten Familien in der Expansionsphase,,2021-07-06,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2021-07-06-3-s-210319,
der Darstellung in der Begründung sei eine grundlegende und unzumutbare Änderung der Verhältnisse,,2021-07-01,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-stuttgart-2021-07-01-7-k-627418,
t auch angesichts der dazu kontrastierenden relativen Konstanz der ermittelten Gesamtergebnisse,,2018-11-08,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-stuttgart-2018-11-08-4-k-1497217,
