Column_1,ETid,Country,Column_4,Date of Decision,Fine [€],Controller/Processor,Column_8,Quoted Art.,Type,Column_11,Source,Column_13
,ETid-2960 | https://www.enforcementtracker.com/ETid-2960,ITALY ITALY,Italian Data Protection Authority (Garante),2025-11-13,"6,000",Comune di Orte,Public Sector and Education,"Art. 5 (1) a) GDPR, Art. 6 (1) c), e) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 6,000 on the Comuni di Orte. The controller implemented video surveillance on its territory in a manner that did not comply with the basic principles of data processing.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10198694,https://www.enforcementtracker.com/ETid-2960 (Copy: ) | Short URL: https://etid.link/ETid-2960 ETid 2960 | https://www.enforcementtracker.com/ETid-2960
,ETid-2959 | https://www.enforcementtracker.com/ETid-2959,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-23,"15,000",Ordine degli Avvocati di Latina,Public Sector and Education,"Art. 5 (1) a) GDPR, Art. 6 (1) c), e), (2), (3) GDPR, Art. 10 GDPR",Insufficient legal basis for data processing,"The Italian DPA has imposed a fine of EUR 15,000 on the Ordine degli Avvocati di Latina. The controller published a document relating to criminal proceedings that included personal data. There was no legal basis for publishing the personal data contained within it.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10196142,https://www.enforcementtracker.com/ETid-2959 (Copy: ) | Short URL: https://etid.link/ETid-2959 ETid 2959 | https://www.enforcementtracker.com/ETid-2959
,ETid-2958 | https://www.enforcementtracker.com/ETid-2958,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-23,"20,000",Multimedia News Società Cooperativa,"Media, Telecoms and Broadcasting","Art. 12 (1), (2), (3) GDPR",Insufficient fulfilment of data subjects rights,"The Italian DPA has imposed a fine of EUR 20,000 on Multimedia News Società Cooperativa. The controller failed to adequatly react to a request by a data subject to exercise their rights.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10199198,https://www.enforcementtracker.com/ETid-2958 (Copy: ) | Short URL: https://etid.link/ETid-2958 ETid 2958 | https://www.enforcementtracker.com/ETid-2958
,ETid-2957 | https://www.enforcementtracker.com/ETid-2957,ITALY ITALY,Italian Data Protection Authority (Garante),2025-12-23,"6,000",Geturhotels Srl,Accomodation and Hospitality,"Art. 5 (1) e) GDPR, Art. 6 (1) a) GDPR, Art. 17 GDPR, Art. 24 GDPR",Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 6,000 on Geturhotels Srl. The controller was involved in direct marketing operations, using personal data that had not been acquired or processed in accordance with general principles of data processing.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10199166,https://www.enforcementtracker.com/ETid-2957 (Copy: ) | Short URL: https://etid.link/ETid-2957 ETid 2957 | https://www.enforcementtracker.com/ETid-2957
,ETid-2956 | https://www.enforcementtracker.com/ETid-2956,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-23,"1,000",Mayor of the Municipality of Calvi Risorta,Public Sector and Education,"Art. 5 (1), a) GDPR, Art. 6 (1) c), e) GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The Italian DPA has imposed a fine of EUR 1,000 on the Mayor of the Municipality of Calvi Risorta. The controller published citizens' health data during the Covid-19 pandemic without a sufficient legal basis.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10195910,https://www.enforcementtracker.com/ETid-2956 (Copy: ) | Short URL: https://etid.link/ETid-2956 ETid 2956 | https://www.enforcementtracker.com/ETid-2956
,ETid-2955 | https://www.enforcementtracker.com/ETid-2955,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-23,"15,000",Comune di Curtarolo,Employment,"Art. 5 (1) a), b) GDPR, Art. 6 (1), c), e), (2), (3) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 35 GDPR, Art. 88 GDPR",Insufficient legal basis for data processing,"The Italian DPA has imposed a fine of EUR 15,000 on the Comune di Curtarolo. The controller used surveillance footage in disciplinary proceedings against an employee, and also ordered other employees to spy on the employee in question and take pictures and videos of them.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10196164,https://www.enforcementtracker.com/ETid-2955 (Copy: ) | Short URL: https://etid.link/ETid-2955 ETid 2955 | https://www.enforcementtracker.com/ETid-2955
,ETid-2954 | https://www.enforcementtracker.com/ETid-2954,ROMANIA ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2025-12-08,"1,000",Compania de Apa Oltenia S.A.,Transportation and Energy,"Art. 29 GDPR, Art. 32 (4) GDPR",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 1,000 on Compania de Apa Oltenia S.A. The controller failed to implement adequate technical and organisational measures to ensure data security, resulting in personal data beeing leaked on social media.",link | https://www.dataprotection.ro/?page=Comunicat_Presa_08_12_2025,https://www.enforcementtracker.com/ETid-2954 (Copy: ) | Short URL: https://etid.link/ETid-2954 ETid 2954 | https://www.enforcementtracker.com/ETid-2954
,ETid-2953 | https://www.enforcementtracker.com/ETid-2953,ROMANIA ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2025-11-27,"2,000",Nițu A. Cleopatra – Expert Accountant,Individuals and Private Associations,"Art. 32 (1) a), b), (2) GDPR",Insufficient technical and organisational measures to ensure information security,"Thr Romanian DPA has imposed a fine of EUR 2,000 on Nițu A. Cleopatra – Expert Accountant. The controller was the target of a successful cyber attack due to the inadequate technical and organisational measures in place to ensure data security.",link | https://www.dataprotection.ro/?page=Comunicat_Presa_27_11_2025,https://www.enforcementtracker.com/ETid-2953 (Copy: ) | Short URL: https://etid.link/ETid-2953 ETid 2953 | https://www.enforcementtracker.com/ETid-2953
,ETid-2952 | https://www.enforcementtracker.com/ETid-2952,ROMANIA ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2025-11-26,"3,000",Cucina di Fabio S.R.L.,Industry and Commerce,"Art. 6 (1) GDPR, Art. 15 GDPR, Art. 17 GDPR, Art. 25 (1), (2) GDPR",Insufficient legal basis for data processing,"The Romanian DPA has imposed a fine of EUR 3,000 on Cucina di Fabio S.R.L. The controller was active in direct marketing activities, using personal data that had not been obtained on a sufficient legal basis.",link | https://www.dataprotection.ro/?page=Comunicat_Presa_26.11.2025,https://www.enforcementtracker.com/ETid-2952 (Copy: ) | Short URL: https://etid.link/ETid-2952 ETid 2952 | https://www.enforcementtracker.com/ETid-2952
,ETid-2951 | https://www.enforcementtracker.com/ETid-2951,FRANCE FRANCE,French Data Protection Authority (CNIL),2025-11-20,"750,000",LES PUBLICATIONS CONDE NAST,"Media, Telecoms and Broadcasting",Art. 82 loi Informatique et Libertés,Non-compliance with general data processing principles,"The French DPA has imposed a fine of EUR 750,000 on LES PUBLICATIONS CONDE NAST. The controller used multiple cookies on its website but failed to adequately implement them.",link link | https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000052851847,https://www.enforcementtracker.com/ETid-2951 (Copy: ) | Short URL: https://etid.link/ETid-2951 ETid 2951 | https://www.enforcementtracker.com/ETid-2951
