enforcement_id,country_code,regulation_id,regulation_name,case_name,company_name,sector,violation_type,violation_date,enforcement_date,fine_amount_usd,settlement_type,ai_related,enforcing_agency,source_url,summary
US_FTC_MERGER_1910110,US,US_FTC,Federal Trade Commission Act,"FTC Imposes Conditions on E. & J. Gallo Winery’s Acquisition of Assets from Constellation Brands, Inc.","FTC Imposes Conditions on E. & J. Gallo Winery’s Acquisition of Assets from Constellation Brands, Inc.",retail,"deceptive practices, unfair practices",2025-06-17,2020-12-23,1700000000,consent_order,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/12/ftc-imposes-conditions-e-j-gallo-winerys-acquisition-assets,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_1910134,US,US_FTC,Federal Trade Commission Act,FTC Sues Facebook for Illegal Monopolization,FTC Sues Facebook for Illegal Monopolization,technology,monopoly,2025-06-17,2020-12-09,70000000000,permanent_injunction,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/12/ftc-sues-facebook-illegal-monopolization,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_2010042,US,US_FTC,Federal Trade Commission Act,"FTC Sues to Block Procter & Gamble’s Acquisition of Billie, Inc.","FTC Sues to Block Procter & Gamble’s Acquisition of Billie, Inc.",manufacturing,"deceptive practices, unfair practices",2025-06-17,2021-06-22,9600000,preliminary_injunction,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/12/ftc-sues-block-procter-gambles-acquisition-billie-inc,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_2010044,US,US_FTC,Federal Trade Commission Act,"FTC Challenges Hackensack Meridian Health, Inc.’s Proposed Acquisition of Competitor Englewood Healthcare Foundation","FTC Challenges Hackensack Meridian Health, Inc.’s Proposed Acquisition of Competitor Englewood Healthcare Foundation",healthcare,"deceptive practices, unfair practices",2021-07-15,2021-07-15,9600000,preliminary_injunction,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/12/ftc-challenges-hackensack-meridian-health-incs-proposed,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_2010061,US,US_FTC,Federal Trade Commission Act,"FTC Sues to Block CoStar Group, Inc.’s Proposed Acquisition of Chief Competitor RentPath Holdings, Inc.","FTC Sues to Block CoStar Group, Inc.’s Proposed Acquisition of Chief Competitor RentPath Holdings, Inc.",technology,"deceptive practices, unfair practices",2021-06-01,2021-06-01,9600000,preliminary_injunction,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/11/ftc-sues-block-costar-group-incs-proposed-acquisition-chief,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_1910189,US,US_FTC,Federal Trade Commission Act,FTC Sues to Block Proposed Acquisition of Two Memphis-Area Hospitals,FTC Sues to Block Proposed Acquisition of Two Memphis-Area Hospitals,healthcare,"deceptive practices, unfair practices",2025-06-17,2021-05-18,9600000,preliminary_injunction,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/11/ftc-sues-block-proposed-acquisition-two-memphis-area-hospitals,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_2010014,US,US_FTC,Federal Trade Commission Act,FTC Requires Medical Device Companies Stryker Corp. and Wright Medical Group N.V. to Divest Assets to Preserve Competition,FTC Requires Medical Device Companies Stryker Corp. and Wright Medical Group N.V. to Divest Assets to Preserve Competition,manufacturing,"deceptive practices, unfair practices",2025-06-17,2020-11-03,4000000000,consent_order,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/11/ftc-requires-medical-device-companies-stryker-corp-wright-medical,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_2010041,US,US_FTC,Federal Trade Commission Act,"FTC Requires Divestitures as Condition of Arko Holdings Ltd.’s Acquisition of Empire Petroleum Partners, LLC","FTC Requires Divestitures as Condition of Arko Holdings Ltd.’s Acquisition of Empire Petroleum Partners, LLC",retail,"deceptive practices, unfair practices",2025-06-17,2020-08-25,9600000,consent_order,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/08/ftc-requires-divestitures-condition-arko-holdings-ltds,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_1910198,US,US_FTC,Federal Trade Commission Act,"FTC Requires Global Suppliers of Animal Health Products Elanco Animal Health, Inc. and Bayer Animal Health GmbH to Divest Assets in Three Product Markets, as a Condition of Merger","FTC Requires Global Suppliers of Animal Health Products Elanco Animal Health, Inc. and Bayer Animal Health GmbH to Divest Assets in Three Product Markets, as a Condition of Merger",healthcare,"monopoly, deceptive practices, unfair practices",2025-06-17,2020-07-15,7600000000,consent_order,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/07/ftc-requires-global-suppliers-animal-health-products-elanco,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
US_FTC_MERGER_1910158,US,US_FTC,Federal Trade Commission Act,"FTC Approves Final Order Imposing Conditions on Casino Operators Eldorado Resorts, Inc. and Caesars Entertainment Corporation","FTC Approves Final Order Imposing Conditions on Casino Operators Eldorado Resorts, Inc. and Caesars Entertainment Corporation",retail,"deceptive practices, unfair practices",2025-06-17,2020-07-02,17300000000,consent_order,1,FTC,https://www.ftc.gov/news-events/press-releases/2020/08/ftc-approves-final-order-imposing-conditions-casino-operators,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site."
