enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
US_FTC_MERGER_1910110,US,"FTC Imposes Conditions on E. & J. Gallo Winery’s Acquisition of Assets from Constellation Brands, Inc.",retail,consumer protection-related offenses,"deceptive practices, unfair practices",2020-12-23,1700000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/12/ftc-imposes-conditions-e-j-gallo-winerys-acquisition-assets
US_FTC_MERGER_1910134,US,FTC Sues Facebook for Illegal Monopolization,technology,competition-related offenses,monopoly,2020-12-09,70000000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/12/ftc-sues-facebook-illegal-monopolization
US_FTC_MERGER_2010042,US,"FTC Sues to Block Procter & Gamble’s Acquisition of Billie, Inc.",manufacturing,consumer protection-related offenses,"deceptive practices, unfair practices",2021-06-22,9600000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/12/ftc-sues-block-procter-gambles-acquisition-billie-inc
US_FTC_MERGER_2010044,US,"FTC Challenges Hackensack Meridian Health, Inc.’s Proposed Acquisition of Competitor Englewood Healthcare Foundation",healthcare,consumer protection-related offenses,"deceptive practices, unfair practices",2021-07-15,9600000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/12/ftc-challenges-hackensack-meridian-health-incs-proposed
US_FTC_MERGER_2010061,US,"FTC Sues to Block CoStar Group, Inc.’s Proposed Acquisition of Chief Competitor RentPath Holdings, Inc.",technology,consumer protection-related offenses,"deceptive practices, unfair practices",2021-06-01,9600000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/11/ftc-sues-block-costar-group-incs-proposed-acquisition-chief
US_FTC_MERGER_1910189,US,FTC Sues to Block Proposed Acquisition of Two Memphis-Area Hospitals,healthcare,consumer protection-related offenses,"deceptive practices, unfair practices",2021-05-18,9600000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/11/ftc-sues-block-proposed-acquisition-two-memphis-area-hospitals
US_FTC_MERGER_2010014,US,FTC Requires Medical Device Companies Stryker Corp. and Wright Medical Group N.V. to Divest Assets to Preserve Competition,manufacturing,consumer protection-related offenses,"deceptive practices, unfair practices",2020-11-03,4000000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/11/ftc-requires-medical-device-companies-stryker-corp-wright-medical
US_FTC_MERGER_2010041,US,"FTC Requires Divestitures as Condition of Arko Holdings Ltd.’s Acquisition of Empire Petroleum Partners, LLC",retail,consumer protection-related offenses,"deceptive practices, unfair practices",2020-08-25,9600000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/08/ftc-requires-divestitures-condition-arko-holdings-ltds
US_FTC_MERGER_1910198,US,"FTC Requires Global Suppliers of Animal Health Products Elanco Animal Health, Inc. and Bayer Animal Health GmbH to Divest Assets in Three Product Markets, as a Condition of Merger",healthcare,competition-related offenses,"monopoly, deceptive practices, unfair practices",2020-07-15,7600000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/07/ftc-requires-global-suppliers-animal-health-products-elanco
US_FTC_MERGER_1910158,US,"FTC Approves Final Order Imposing Conditions on Casino Operators Eldorado Resorts, Inc. and Caesars Entertainment Corporation",retail,consumer protection-related offenses,"deceptive practices, unfair practices",2020-07-02,17300000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/08/ftc-approves-final-order-imposing-conditions-casino-operators
US_FTC_MERGER_2010074,US,"FTC Requires Divestitures as Condition of Tri Star Energy, LLC’s Acquisition of Certain Assets of Hollingsworth Oil Company, Inc., C & H Properties, and Ronald L. Hollingsworth",unknown,competition-related offenses,"monopoly, deceptive practices, unfair practices",2020-06-24,9600000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/06/ftc-requires-divestitures-condition-tri-star-energy-llcs
US_FTC_MERGER_1910169,US,FTC Imposes Conditions on AbbVie Inc.’s Acquisition of Allergan plc,healthcare,consumer protection-related offenses,"deceptive practices, unfair practices",2020-05-05,63000000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/05/ftc-imposes-conditions-abbvie-incs-acquisition-allergan-plc
US_FTC_MERGER_1910177,US,"FTC Imposes Conditions on Össur Hf’s Acquisition of College Park Industries, Inc.",healthcare,consumer protection-related offenses,"deceptive practices, unfair practices",2020-04-07,9600000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/04/ftc-imposes-conditions-ossur-hfs-acquisition-college-park
US_FTC_MERGER_1910075,US,FTC Sues to Unwind Altria’s $12.8 Billion Investment in Competitor JUUL,retail,competition-related offenses,"restraint of trade, deceptive practices, unfair practices",2020-04-01,12800000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/04/ftc-sues-unwind-altrias-128-billion-investment-competitor-juul
