enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
US_FTC_NONMERGER_1910074,US,Rent-to-Own Operators Settle Charges that They Restrained Competition through Reciprocal Purchase Agreements,retail,competition-related offenses,restraint of trade,2020-02-21,0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/02/rent-own-operators-settle-charges-they-restrained-competition
US_FTC_NONMERGER_1610001,US,"FTC and NY Attorney General Charge Vyera Pharmaceuticals, Martin Shkreli, and Other Defendants with Anticompetitive Scheme to Protect a List-Price Increase of More Than 4,000 Percent for Life-Saving Drug Daraprim",healthcare,competition-related offenses,"monopoly, deceptive practices, unfair practices",2020-01-27,293000000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/01/ftc-ny-attorney-general-charge-vyera-pharmaceuticals-martin
US_FTC_NONMERGER_1310036,US,"Reckitt Benckiser Group plc to Pay $50 Million to Consumers, Settling FTC Charges that the Company Illegally Maintained a Monopoly over the Opioid Addiction Treatment Suboxone",healthcare,competition-related offenses,monopoly,2019-07-11,50000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2019/07/reckitt-benckiser-group-plc-pay-50-million-consumers-settling-ftc
US_FTC_NONMERGER_1310036,US,"Reckitt Benckiser Group plc to Pay $50 Million to Consumers, Settling FTC Charges that the Company Illegally Maintained a Monopoly over the Opioid Addiction Treatment Suboxone",healthcare,competition-related offenses,monopoly,2019-07-11,50000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2019/07/reckitt-benckiser-group-plc-pay-50-million-consumers-settling-ftc
US_FTC_NONMERGER_1410210,US,FTC Charges Surescripts with Illegal Monopolization of E-Prescription Markets,healthcare,competition-related offenses,monopoly,2019-04-17,448000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2019/04/ftc-charges-surescripts-illegal-monopolization-e-prescription
US_FTC_NONMERGER_1710134,US,Therapist Staffing Company and Two Owners Settle Charges that They Colluded on Rates Paid to Physical Therapists in Dallas,healthcare,consumer protection-related offenses,"deceptive practices, unfair practices",2018-07-31,0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2018/07/therapist-staffing-company-two-owners-settle-charges-they
US_FTC_NONMERGER_1610230,US,Community Newspaper Owner Oregon Lithoprint Inc. Settles Charges that It Restrained Competition in the Local Market for Foreclosure Notices,publishing,competition-related offenses,restraint of trade,2018-04-10,0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2018/03/community-newspaper-owner-oregon-lithoprint-inc-settles-charges
US_FTC_NONMERGER_1510190,US,FTC Sues Dental Products Distributors for Alleged Conspiracy Not to Provide Discounts to a Customer Segment,healthcare,competition-related offenses,conspiracy,2018-02-12,10000000000,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2018/02/ftc-sues-dental-products-distributors-alleged-conspiracy-not
US_FTC_NONMERGER_1510138,US,"National Association of Animal Breeders, Inc. Agreed To Refrain From Adopting Rules that Restrict Competition Among Members",healthcare,consumer protection-related offenses,"deceptive practices, unfair practices",2017-08-18,0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2017/08/national-association-animal-breeders-inc-agreed-refrain-adopting
US_FTC_NONMERGER_1610068,US,FTC Challenges Louisiana Real Estate Appraisers Board Regulations that Restrict Competition,healthcare,consumer protection-related offenses,"deceptive practices, unfair practices",2018-01-30,0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2017/05/ftc-challenges-louisiana-real-estate-appraisal-board-regulations
