enforcement_id,country_code,regulation_id,regulation_name,case_name,company_name,sector,violation_type,violation_date,enforcement_date,fine_amount_usd,settlement_type,ai_related,enforcing_agency,source_url,summary
US_ENF_FTC_001,US,US_FED_002,FTC Act Section 5,"Snap, Inc., U.S. v.",Snap,technology,deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,0,consent_order,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3039-snap-inc-us-v,An official website of the United States government
US_ENF_FTC_002,US,US_FED_002,FTC Act Section 5,Aqua Finance,Aqua Finance,technology,deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,20000000,settlement,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/aqua-finance,An official website of the United States government
US_ENF_FTC_003,US,US_FED_002,FTC Act Section 5,"Cognosphere, LLC, U.S. v.",Cognosphere,technology,coppa_violation;deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,20000000,settlement,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/222-3152-cognosphere-llc-us-v,An official website of the United States government
US_ENF_FTC_004,US,US_FED_002,FTC Act Section 5,Avast,Avast,technology,deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,16500000,settlement,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/2023033-avast,An official website of the United States government
US_ENF_FTC_005,US,US_FED_002,FTC Act Section 5,"Gravy Analytics, Inc., In the Matter of","Gravy Analytics, Inc.",technology,deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,0,consent_order,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/212-3035-gravy-analytics-inc-matter,An official website of the United States government
US_ENF_FTC_006,US,US_FED_002,FTC Act Section 5,"Iconic Hearts Holdings, Inc., U.S. v.",Iconic Hearts Holdings,technology,coppa_violation;deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,0,civil_penalty,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3029-iconic-hearts-holdings-inc-us-v,An official website of the United States government
US_ENF_FTC_007,US,US_FED_002,FTC Act Section 5,"Concurring Statement of Commissioner Melissa Holyoak Joined In Part By Commissioner Alvaro M. Bedoya In the Matter of Gravy Analytics, Inc.",Gravy Analytics,technology,deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,0,consent_order,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/concurring-statement-commissioner-melissa-holyoak-joined-part-commissioner-alvaro-m-bedoya-matter,An official website of the United States government
US_ENF_FTC_008,US,US_FED_002,FTC Act Section 5,Statement of Commissioner Alvaro M. Bedoya Joined by Commissioner Rebecca Kelly Slaughter Notice of Final Rulemaking to Update the Children_ Online Privacy Protection Rule (COPPA Rule),Statement of Commissioner Alvaro M. Bedoya Joined by Commissioner Rebecca Kelly Slaughter Notice of Final Rulemaking to Update the Children_ Online Privacy Protection Rule (COPPA Rule),technology,coppa_violation;deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,0,consent_order,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-commissioner-alvaro-m-bedoya-joined-commissioner-rebecca-kelly-slaughter-notice-final,An official website of the United States government
US_ENF_FTC_009,US,US_FED_002,FTC Act Section 5,"1Health.io/Vitagene, In the Matter of",1Health.io/Vitagene,technology,deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,0,settlement,FALSE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/1923170-1healthiovitagene-matter,An official website of the United States government
US_ENF_FTC_010,US,US_FED_002,FTC Act Section 5,Legal Library: Banned Debt Collectors,Legal Library: Banned Debt Collectors,technology,coppa_violation;deceptive_practice;privacy_violation;security_violation;unfair_practice,2025.6.17,2025.6.17,1500000,settlement,TRUE,FTC,https://www.ftc.gov/legal-library/browse/cases-proceedings/banned-debt-collectors,An official website of the United States government
