enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
VTG24-69862,DE,Volkswagen AG,motor vehicles,environment-related offenses,air pollution violation,2018-06-13,1176910000,German Court System,Volkswagen was fined 1 billion euros in a case brought by German prosecutors over the company's prominent role in the diesel emissions cheating scandal.,https://www.reuters.com/article/volkswagen-emissions-idINKBN1J92AK/
VTG24-69858,DE,Daimler AG,motor vehicles,environment-related offenses,air pollution violation,2019-09-24,956808600,German Court System,Daimler agreed to pay an 870 million euro penalty to resolve an investigation by the Stuttgart Public Prosecutor of improper emissions certifications of diesel vehicles.,https://www.dw.com/en/stuttgart-prosecutors-fine-daimler-big-for-diesel-emissions/a-50563744
VTG24-69861,DE,Audi,motor vehicles,environment-related offenses,air pollution violation,2018-10-16,925840000,German Court System,Audi was fined 800 million euros in a case brought by German prosecutors over the company's role in the diesel emissions cheating scandal.,(click here).
VTG24-69856,DE,Volkswagen AG,motor vehicles,environment-related offenses,air pollution violation,2020-02-28,908816800,German Court System,Volkswagen agreed to pay 830 million euros to settle litigation brought by the Federation of German Consumer Organizations (VZBV) in connection with the company's rigging of diesel emissions tests.,https://web.archive.org/web/20200405035251/https://www.volkswagen-newsroom.com/en/press-releases/vzbv-and-volkswagen-agree-on-a-fair-settlement-solution-in-the-declaratory-model-action-5824
VTG24-69860,DE,Porsche,motor vehicles,environment-related offenses,air pollution violation,2019-05-07,598857600,German Court System,Porsche agreed to pay 535 million euros to settle a case brought by German prosecutors over the company's role in the diesel emissions cheating scandal.,https://www.reuters.com/article/idUSKCN1SD1BA/
VTG24-69786,DE,Thyssenkrupp Steel Europe AG,diversified,competition-related offenses,anti-competitive practices,2019-12-12,410567000,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling around 646 million euros on Ilsenburger Grobblech GmbH, thyssenkrupp Steel Europe AG and voestalpine Grobblech GmbH as well as three individuals responsible for exchanging information on and agreeing certain price supplements and surcharges for steel plates in Germany. The Bundeskartellamt did not specify how much each company would pay, but Thyssenkrupp disclosed on page 203 of its annual report that it paid 370 million euros: (click here)",https://ucpcdn.thyssenkrupp.com/_binary/UCPthyssenkruppAG/en/investors/reporting-and-publications/link-thyssenkrupp-GB-2019-2020-ENG-Web.pdf
VTG24-69866,DE,UBS AG,financial services,financial offenses,tax violations,2014-07-29,403017000,German Court System,UBS agreed to pay 300 million euros to resolve allegations it helped German customers evade taxes.,https://www.dw.com/en/swiss-ubs-pays-millions-to-germany-in-settlement-over-tax-evasion/a-17816853
VTG24-69800,DE,Sudzucker AG,agribusiness,competition-related offenses,anti-competitive practices,2014-02-18,267927000,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines amounting to around 280 million euros on the three major German sugar manufacturers--Pfeifer & Langen GmbH & Co.KG, Sudzucker AG, and Nordzucker AG--for concluding anticompetitive agreements on sales areas, quotas and prices. The Bundeskartellamt did not specify how much each company would pay, but Sudzucker AG disclosed on page 48 of its 2014/15 Management Report that it paid 195.5 million euros: (click here)",https://www.suedzucker.de/sites/default/files/2019-12/2014-15_SZAG_JA-HGB.pdf
VTG24-69785,DE,Ilsenburger Grobblech GmbH,metals,competition-related offenses,anti-competitive practices,2019-12-12,234134000,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling around 646 million euros on Ilsenburger Grobblech GmbH, thyssenkrupp Steel Europe AG and voestalpine Grobblech GmbH as well as three individuals responsible for exchanging information on and agreeing certain price supplements and surcharges for steel plates in Germany. The Bundeskartellamt did not specify how much each company would pay, but Ilsenburger Grobblech's parent Salzgitter AG disclosed on page 80 of its annual report that it paid 211 million euros: (click here)",https://www.salzgitter-ag.com/fileadmin/finanzberichte/2019/gb2019/en/downloads/szag-ar2019-complete.pdf
VTG24-69867,DE,Credit Suisse AG,financial services,financial offenses,tax violations,2011-09-19,206773500,German Court System,Credit Suisse agreed to pay 150 million euros to settle allegations that it helped clients evade taxes.,https://www.credit-suisse.com/about-us-news/en/articles/media-releases/41848-201109.html
