enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
VTG24-66397,GB,Airbus SE,aerospace and military contracting,competition-related offenses,kickbacks and bribery,2020-01-31,1307624500,Serious Fraud Office,"The indictment, which has been suspended for the term of the DPA, covers five counts of failure to prevent bribery. The conduct involves Airbus' Commercial and Defence & Space divisions. The conduct covered by the UK DPA took place across five jurisdictions: Sri Lanka, Malaysia, Indonesia, Taiwan and Ghana between 2011 and 2015.",Link to this record on Violation Tracker UK: here
VTG24-73397,GB,AstraZeneca,pharmaceuticals,financial offenses,tax violations,2010-02-23,780932000,HM Revenue & Customs,"AztraZenica agreed to pay £505 million to resolve claims made by HMRC of incorrect transfer pricing, as well as other outstanding UK tax matters.",Link to this record on Violation Tracker UK: here
VTG24-67264,GB,Entain plc,entertainment,competition-related offenses,kickbacks and bribery,2023-11-24,774961500,HM Revenue & Customs,"Entain agreed to pay £585 million in penalties and disgorgement of profits, make a charitable donation of £20 million, and pay costs of £10 million, in a Deferred Prosecution Agreement settling a court case resulting from an HMRC investigation which alleged failures by the company to have adequate procedures to prevent bribery at its former Turkish gambling operations.",Link to this record on Violation Tracker UK: here
VTG24-66401,GB,Rolls-Royce PLC,aerospace and military contracting,competition-related offenses,kickbacks and bribery,2017-01-17,632097700,Serious Fraud Office,"The agreement with the company followed the SFO's four-year investigation into bribery and corruption. The indictment covered 12 counts of conspiracy to corrupt, false accounting and failure to prevent bribery. The conduct spanned three decades and involved Rolls-Royce's Civil Aerospace and Defence Aerospace businesses and its former Energy business and related to the sale of aero engines, energy systems and related services. The conduct covered by the UK DPA took place across seven jurisdictions: Indonesia, Thailand, India, Russia, Nigeria, China and Malaysia. The Judge ruled in a public hearing at the Royal Courts of Justice that the DPA's terms were fair, reasonable and proportionate and that the DPA was in the interests of justice. He also agreed that the total sum in the UK settlement (£497.25m plus interest and the SFO's costs of £13m) reflected the gravity of the conduct, the full cooperation of Rolls-Royce PLC in the investigation, and the programme of corporate reform and compliance put in place by new leadership at the top of the company. The resolution is the highest ever enforcement action against company in the UK for criminal conduct.",Link to this record on Violation Tracker UK: here
VTG24-65912,GB,Barclays Bank plc,financial services,competition-related offenses,foreign exchange market manipulation,2015-05-20,442121101,Financial Conduct Authority,"Barclays paid a £284 million fine in settlement of a finding by the FCA that the company failed to have adequate systems and controls over its foreign exchange business, allowing traders to engage in market abuse that put the firm's interests ahead of its clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-66888,GB,Credit Suisse,financial services,financial offenses,banking violation,2021-10-19,403453347,Financial Conduct Authority,"The Financial Conduct Authority fined Credit Suisse over £147 million for serious financial crime due diligence failings related to loans worth over US$1.3 billion, which the bank arranged for the Republic of Mozambique. FCA said these loans, and a bond exchange, were tainted by corruption. Credit Suisse also agreed with the FCA to forgive US$200 million (added to the penalty amount here as £145,019,000) of debt owed by the Republic of Mozambique as a result of these tainted loans.",Link to this record on Violation Tracker UK: here
VTG24-65919,GB,UBS AG,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,367368557,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-65920,GB,Citibank N.A.,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,354423440,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-66927,GB,National Westminster Bank plc,financial services,financial offenses,anti-money-laundering deficiencies,2021-12-13,350373607,Financial Conduct Authority,NatWest pleaded guilty to three offences of failing to comply with money laundering regulations by accepting £365 million in cheques and cash from a commerical customer with suspicious behaviour that was not acted upon and was not spotted by an incorrect automated transaction monitoring system.,Link to this record on Violation Tracker UK: here
VTG24-65921,GB,JPMorgan Chase Bank N.A.,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,349067219,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-65913,GB,Deutsche Bank AG,financial services,competition-related offenses,interest rate benchmark manipulation,2015-04-23,341265960,Financial Conduct Authority,"Deutsche Bank paid a £226 million fine in settlement of a finding by the FCA that the company attempted manipulation of LIBOR rates and was unacceptably misleading, slow and ineffective in responding to the Authority's enquiries.",Link to this record on Violation Tracker UK: here
VTG24-65922,GB,The Royal Bank of Scotland plc,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,340950400,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-65923,GB,HSBC Bank plc,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,339949546,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-66432,GB,Coats Group plc,miscellaneous manufacturing,employment-related offenses,benefit plan administrator violation,2017-02-01,323028650,The Pensions Regulator,"Coats Group agreed to pay £255.5 million to two pension schemes, and £74 million to a third pension scheme, in settlement of a Warning Notice by TPR alleging the company was liable for substantial deficits in the schemes, which would be left insufficiently resourced and with high levels of risk following Coats selling off its investment shareholdings and allocating the majority of benefit to shareholders.",Link to this record on Violation Tracker UK: here
VTG24-67051,GB,Glencore Energy (UK) Ltd,financial services,competition-related offenses,kickbacks and bribery,2022-11-03,314203262,Serious Fraud Office,"Glencore Energy (UK) Ltd was convicted on charges of bribery brought against it by the Serious Fraud Office (SFO). At Southwark Crown Court, the company admitted to multiple counts of paying bribes to secure access to oil and generate illicit profit and was sentenced to pay £280 million.",Link to this record on Violation Tracker UK: here
VTG24-83623,GB,Mastercard,financial services,competition-related offenses,anti-competitive practices,2025-05-20,267420000,Competition Appeal Tribunal,Mastercard settled claims it made goods and services more expensive for consumers by charging retailers fees which breached competition laws.,Link to this record on Violation Tracker UK: here
VTG24-65542,GB,Virgin Holidays Ltd and Virgin Atlantic Airways Ltd. and Virgin Atlantic Ltd.,diversified,consumer-protection-related offenses,consumer protection violation,2020-10-12,263250400,Competition and Markets Authority,"Virgin Holidays agreed to pay refunds estimated at £203 million to customers requesting money back for holidays that were cancelled due to the pandemic and to do so as close to the legally required 14 days as possible, following an investigation by the CMA of complaints that refunds were delayed.",Link to this record on Violation Tracker UK: here
VTG24-65973,GB,UBS AG,financial services,competition-related offenses,interest rate benchmark manipulation,2012-12-19,260400000,Financial Services Authority,"UBS paid a £160 million fine in settlement of a finding by the FSA that the company's employees colluded with individuals both inside and outside the bank, and with other businesses, to influence the LIBOR and EURIBOR rates for their benefit.",Link to this record on Violation Tracker UK: here
VTG24-65942,GB,JPMorgan Chase Bank N.A.,financial services,financial offenses,investor protection violation,2013-09-18,219694365,Financial Conduct Authority,"JPMorgan Chase paid a £137 million fine in settlement of a finding by the FCA that the company failed to adequately manage the risks of trading in its Synthetic Credit Portfolio, failed to prevent traders concealing losses, and failed to be open and cooperative with the FCA.",Link to this record on Violation Tracker UK: here
