enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
VTG24-4804,US,Bank of America Corporation,financial services,consumer-protection-related offenses,mortgage abuses,2014-08-21,16650000000,Justice Department Civil Division,"The Department of Justice announced a $16.65 billion settlement with Bank of America Corporation to resolve federal and state claims against the company and its former and current subsidiaries, including Countrywide Financial Corporation and Merrill Lynch. As part of this global resolution, the bank agreed to pay a $5 billion penalty under the Financial Institutions Reform, Recovery and Enforcement Act and provide billions of dollars of relief to struggling homeowners, including funds that will help defray tax liability as a result of mortgage modification, forbearance or forgiveness. The settlement did not absolve Bank of America, its current or former subsidiaries and affiliates or any individuals from potential criminal prosecution.",Archived Source: (click here) Link to this record on U.S. Violation Tracker: here
VTG24-4808,US,JPMorgan Chase,financial services,financial offenses,toxic securities abuses,2013-11-19,13000000000,Justice Department Civil Division,"The Justice Department, along with federal and state partners, announced a $13 billion settlement with JPMorgan to resolve federal and state civil claims arising out of the packaging, marketing, sale and issuance of residential mortgage-backed securities by JPMorgan, Bear Stearns and Washington Mutual prior to Jan. 1, 2009. As part of the settlement, JPMorgan acknowledged it made serious misrepresentations to the public about numerous RMBS transactions. The resolution also required JPMorgan to provide much needed relief to underwater homeowners and potential homebuyers. The settlement did not absolve JPMorgan or its employees from facing any possible criminal charges.",Archived Source: (click here) Link to this record on U.S. Violation Tracker: here
VTG24-4811,US,Bank of America Corporation,financial services,consumer-protection-related offenses,mortgage abuses,2012-02-09,10956600000,Justice Department Civil Division,The federal government and 49 state attorneys general reached a $25 billion agreement with the nation's five largest mortgage servicers to address mortgage loan servicing and foreclosure abuses. The penalty figure is the total of the amounts specified in the the individual company's consent judgment for direct payments and homeowner relief.,Link to this record on U.S. Violation Tracker: here
VTG24-4998,US,Bank of America,financial services,financial offenses,toxic securities abuses,2013-01-07,10350000000,Federal Housing Finance Agency,"Bank of America announced a settlement with the Federal National Mortgage Association (Fannie Mae) to resolve outstanding and potential repurchase and certain other claims relating to the origination, sale and delivery of substantially all residential mortgage loans originated and sold directly to Fannie Mae from January 1, 2000 through December 31, 2008 by entities related to Countrywide Financial Corporation and Bank of America. As part of the agreement Bank of America agreed to make a cash payment to Fannie Mae of $3.6 billion and also repurchase for $6.75 billion certain residential mortgage loans sold to Fannie Mae.",Link to this record on U.S. Violation Tracker: here
VTG24-15473,US,Purdue Pharma LP,pharmaceuticals,competition-related offenses,fraud,2020-10-21,8344000000,Justice Department Civil Division,"The Department of Justice announced an $8 billion global resolution of its criminal and civil investigations into abuses by the opioid manufacturer Purdue Pharma LP. The company agreed to plead guilty to a three-count felony information charging it with one count of dual-object conspiracy to defraud the United States and to violate the Food, Drug, and Cosmetic Act, and two counts of conspiracy to violate the Federal Anti-Kickback Statute. The criminal resolution included the largest penalties ever levied against a pharmaceutical manufacturer, including a criminal fine of $3.544 billion and an additional $2 billion in criminal forfeiture, with $225 million of the latter effective on the date of the company's bankruptcy. Purdue also agreed to a civil settlement in the amount of $2.8 billion to resolve its civil liability under the False Claims Act.",Archived Source: (click here) Link to this record on U.S. Violation Tracker: here
VTG24-21585,US,McKesson Corporation,wholesalers,healthcare-related offenses,off-label or unapproved promotion of medical products,2021-07-21,8001000000,Multistate Attorneys General Case,"The three major pharmaceutical distributors--McKesson, AmerisourceBergen and Cardinal Health--reached a $21 billion settlement with a group of states to resolve litigation alleging the improper sale of pain medications, contributing to the national opioid epidemic. McKesson agreed to pay 38.1 percent of the total, while AmerisourceBergen paid 31 percent and Cardinal Health 30.9 percent.",Link to this record on U.S. Violation Tracker: here
VTG24-4802,US,Citigroup Inc.,financial services,financial offenses,toxic securities abuses,2014-07-14,7000000000,Justice Department Civil Division,"The Justice Department, along with federal and state partners, announced a $7 billion settlement with Citigroup Inc. to resolve federal and state civil claims related to Citigroup's conduct in the packaging, securitization, marketing, sale and issuance of residential mortgage-backed securities prior to Jan. 1, 2009. The resolution included a $4 billion civil penalty and required Citigroup to provide relief to underwater homeowners, distressed borrowers and affected communities through a variety of means including financing affordable rental housing developments for low-income families in high-cost areas.",Archived Source: (click here) Link to this record on U.S. Violation Tracker: here
VTG24-21584,US,AmerisourceBergen Corporation,wholesalers,healthcare-related offenses,off-label or unapproved promotion of medical products,2021-07-21,6510000000,Multistate Attorneys General Case,"The three major pharmaceutical distributors--McKesson, AmerisourceBergen and Cardinal Health--reached a $21 billion settlement with a group of states to resolve litigation alleging the improper sale of pain medications, contributing to the national opioid epidemic. McKesson agreed to pay 38.1 percent of the total, while AmerisourceBergen paid 31 percent and Cardinal Health 30.9 percent.",Link to this record on U.S. Violation Tracker: here
VTG24-21583,US,Cardinal Health Inc.,wholesalers,healthcare-related offenses,off-label or unapproved promotion of medical products,2021-07-21,6489000000,Multistate Attorneys General Case,"The three major pharmaceutical distributors--McKesson, AmerisourceBergen and Cardinal Health--reached a $21 billion settlement with a group of states to resolve litigation alleging the improper sale of pain medications, contributing to the national opioid epidemic. McKesson agreed to pay 38.1 percent of the total, while AmerisourceBergen paid 31 percent and Cardinal Health 30.9 percent.",Link to this record on U.S. Violation Tracker: here
VTG24-24600,US,Walgreens,private equity (including portfolio companies),healthcare-related offenses,off-label or unapproved promotion of medical products,2022-12-12,5700000000,Multistate Attorneys General Case,Walgreens agreed to pay $5.7 billion to settle multistate litigation concerning its role in fueling the opioid epidemic.,Link to this record on U.S. Violation Tracker: here
