enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url,country_name,source_file,fine_amount_original,currency,case_name
US_FTC_MERGER_1910110,US,"FTC Imposes Conditions on E. & J. Gallo Winery’s Acquisition of Assets from Constellation Brands, Inc.",retail,consumer,"deceptive practices, unfair practices",2020-12-23,1700000000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/12/ftc-imposes-conditions-e-j-gallo-winerys-acquisition-assets,us,1_us_cases.csv,,,
US_FTC_MERGER_1910134,US,FTC Sues Facebook for Illegal Monopolization,technology,competition,monopoly,2020-12-09,70000000000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/12/ftc-sues-facebook-illegal-monopolization,us,1_us_cases.csv,,,
US_FTC_MERGER_2010042,US,"FTC Sues to Block Procter & Gamble’s Acquisition of Billie, Inc.",manufacturing,consumer,"deceptive practices, unfair practices",2021-06-22,9600000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/12/ftc-sues-block-procter-gambles-acquisition-billie-inc,us,1_us_cases.csv,,,
US_FTC_MERGER_2010044,US,"FTC Challenges Hackensack Meridian Health, Inc.’s Proposed Acquisition of Competitor Englewood Healthcare Foundation",healthcare,consumer,"deceptive practices, unfair practices",2021-07-15,9600000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/12/ftc-challenges-hackensack-meridian-health-incs-proposed,us,1_us_cases.csv,,,
US_FTC_MERGER_2010061,US,"FTC Sues to Block CoStar Group, Inc.’s Proposed Acquisition of Chief Competitor RentPath Holdings, Inc.",technology,consumer,"deceptive practices, unfair practices",2021-06-01,9600000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/11/ftc-sues-block-costar-group-incs-proposed-acquisition-chief,us,1_us_cases.csv,,,
US_FTC_MERGER_1910189,US,FTC Sues to Block Proposed Acquisition of Two Memphis-Area Hospitals,healthcare,consumer,"deceptive practices, unfair practices",2021-05-18,9600000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/11/ftc-sues-block-proposed-acquisition-two-memphis-area-hospitals,us,1_us_cases.csv,,,
US_FTC_MERGER_2010014,US,FTC Requires Medical Device Companies Stryker Corp. and Wright Medical Group N.V. to Divest Assets to Preserve Competition,manufacturing,consumer,"deceptive practices, unfair practices",2020-11-03,4000000000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/11/ftc-requires-medical-device-companies-stryker-corp-wright-medical,us,1_us_cases.csv,,,
US_FTC_MERGER_2010041,US,"FTC Requires Divestitures as Condition of Arko Holdings Ltd.’s Acquisition of Empire Petroleum Partners, LLC",retail,consumer,"deceptive practices, unfair practices",2020-08-25,9600000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/08/ftc-requires-divestitures-condition-arko-holdings-ltds,us,1_us_cases.csv,,,
US_FTC_MERGER_1910198,US,"FTC Requires Global Suppliers of Animal Health Products Elanco Animal Health, Inc. and Bayer Animal Health GmbH to Divest Assets in Three Product Markets, as a Condition of Merger",healthcare,competition,"monopoly, deceptive practices, unfair practices",2020-07-15,7600000000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/07/ftc-requires-global-suppliers-animal-health-products-elanco,us,1_us_cases.csv,,,
US_FTC_MERGER_1910158,US,"FTC Approves Final Order Imposing Conditions on Casino Operators Eldorado Resorts, Inc. and Caesars Entertainment Corporation",retail,consumer,"deceptive practices, unfair practices",2020-07-02,17300000000.0,FTC,"An official website of the United States government Here’s how you know The .gov means it’s official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you’re on a federal government site.",https://www.ftc.gov/news-events/press-releases/2020/08/ftc-approves-final-order-imposing-conditions-casino-operators,us,1_us_cases.csv,,,
