enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
Az. IX B 72/25,DE,,,privacy-related offenses,access request violation,2025-11-04,0,BFH,"The BFH held that GDPR access requests to court administrations fall under administrative, not tax law. Complaints under Article 78(2) GDPR must go to administrative courts, not financial courts.",
VI ZR 431/24,DE,,,privacy-related offenses,lawful basis violation,2025-10-14,0,BGH,"The BGH ruled that the transferring of personal data by a telecommunications company to SCHUFA for fraud prevention under Art. 6(1)(f) GDPR was lawful. The court also ruled that company's privacy notice was not considered contractual terms under the German civil code, but merely an information notice under the GDPR.",
Fine against a financial company,DE,,,other,22,,531360,HmbBfDI,"The DPA fined a company providing financial services €492,000 for non-transparently rejecting credit card applications of data subjects based on automated decision-making; thereby the company failed to fulfill its information obligations and to provide access to the logic involved.",
6 UKl 2/25,DE,LIdl,,other,"13, 14",,0,OLG Stuttgart,"A court rejected a case brought by a consumer's organisation against Lidl and found it lawful to claim that participation in a loyalty program was free of charge while users provided their personal data.  According to the court, the provision of personal data did not constitute a payment.",
6 UKI 3/25,DE,Meta Platforms Inc,,privacy-related offenses,lawful basis violation,,0,OLG Schleswig,"A court rejected a consumer organisation's preliminary injunction against Meta for the processing of users' personal data in order to train its AI technologies, due to lack of urgency.",
30087 C 102/24,DE,,,privacy-related offenses,access request violation,2025-05-08,0,AG Frankfurt am Main,"A court rejected a data subject's access request for train ticket inspection data, holding that pseudonymised data were not personal data in the absence of actual linkage to the individual.",
15 U 2230/23,DE,"Facebook User
Facebook",,privacy-related offenses,damages claim,2025-06-27,0,OLG Nürnberg,"A court held that a GDPR violation itself does not necessarily constitute non-material damages in a data breach, especially when a fake name was used.",
52 O 65/23,DE,"Verbraucherzentrale Bundesverband
ImmobilienScout24 GmbH",,privacy-related offenses,lawful basis violation,2025-06-19,0,LG Berlin,A court held that an online real estate platform unlawfully required users to fill in a self-disclosure form without a valid legal basis and violated German consumer protection law by publishing misleading advertisements for credit checks.,
18 SLa 959/24,DE,,,privacy-related offenses,lawful basis violation,2025-05-28,0,LAG Hamm,"A court ordered an employer to pay an employee €15,000 in non-material damages for subjecting them to 24/7 CCTV surveillance in the workplace over a period of 22 months.",
15 UKl 2/25,DE,"Meta Platforms Ireland Limited
VZ NRW",,privacy-related offenses,lawful basis violation,2025-05-23,0,OLG Köln,A court refused to grant an interim injunction restraining Meta from using personal data from its users' profiles to train artificial intelligence.,
14 U 3590/24 e,DE,Data Subject versus Credit Agency,,privacy-related offenses,lawful basis violation,,0,OLG München,A court held that a credit information agency lawfully retained resolved payment default data for three years based on legitimate interest. The court also found that difficulties in obtaining credit could not be considered grounds relating to their particular situation under Article 21 GDPR.,
324 O 278/23,DE,,,other,85(2),2025-05-09,0,LG Hamburg,"A court dismissed a damages claim and a request for injunctive relief over the publication of another court's ruling in a digital legal database. The court clarified that according to Article 85(2) GDPR, only national rules apply in the context of a journalistic activity.",
I ZR 223/19,DE,,,privacy-related offenses,special category data violation,2025-03-27,0,BGH,"The Federal Court of Justice held that when a customer orders pharmacy-only medications via a pharmacist's seller's account on Amazon, the processing of that order data constitutes health data within the meaning of Article 9 GDPR.",
15 U 249/24,DE,,,privacy-related offenses,lawful basis violation,2025-04-10,0,OLG Köln,"The Higher Regional Court of Cologne held that data about missed payments cannot be retained after the debts have been paid, and ordered a credit agency to pay €500 in non-material damages for unlawfully retaining and disclosing such data.",
6 C 3.23,DE,,,privacy-related offenses,lawful basis violation,2025-01-29,0,BVerwG,"The German Federal Administrative Court held that a gold trader’s practices could not be based on legitimate interest since they violated the national implementation of the e-Privacy Directive. Additionally, the court found that the DPA's discretion in addressing the violation was limited to issuing a ban on processing.",
IV ZR 204/23,DE,,,privacy-related offenses,access request violation,2025-03-19,0,BGH,The court held that a data subject cannot request copies of all insurance premium adjustments under Article 15 GDPR as they do not only contain personal data.,
16 U 184/23,DE,,,privacy-related offenses,damages claim,2025-03-14,0,OLG Düsseldorf,"A court ordered an injunction against the operator of a social network regarding the use of the data subject's phone number after it was affected by a data breach. However, the court awarded no non-material damages because the data subject had previously published its phone number online.",
IX R 25/22,DE,,,privacy-related offenses,access request violation,2025-01-14,0,BFH,"A court held that a controller could not reject an access request by claiming that providing access would involve a disproportionate effort. Further, it found an access request not to be excessive if the data subject requests all available information regarding its personal data without limiting this request.",
3 U 145/24,DE,,,privacy-related offenses,lawful basis violation,2025-02-11,0,OLG Koblenz,"A court awarded €100 in non-material damages following a scraping incident involving, among others, the data subjects phone number. The court held that the prior disclosure of the phone number to third parties does not preclude a later loss of control over this information.",
13 U 11/24,DE,,,privacy-related offenses,lawful basis violation,2025-02-12,0,OLG Hamburg,"A court awarded €2,500 in non-material damages for the transmission of wrong data on unpaid debt of a data subject by a bank to a credit rating agency.",
15 O 262/23,DE,,,privacy-related offenses,lawful basis violation,2025-01-23,0,LG Lübeck,"A court held, that the transfer of data regarding the conclusion of a telecommunications contract to a credit rating agency constitutes an infringement of the right to informational self-determination and warrants damages. The data subject was awarded €400 in damages.",
VI ZR 183/22,DE,,,privacy-related offenses,lawful basis violation,2025-01-28,0,BGH,"The Federal Court of Justice confirmed the awarding of €500 in non-material damages for reputational harm under Article 82 GDPR to a data subject. However, it held that a court can neither consider the gravity of the GDPR violation nor the question of fault when setting the amount of the damage.",
I-25 U 25/24,DE,,,privacy-related offenses,access request violation,2024-11-29,0,OLG Hamm,A court held that a Facebook user cannot claim non-material damages pursuant to Article 82 GDPR due to a mere loss of control after a scraping incident if they cannot demonstrate that they were in control of the data before the incident.,
15 O 269/23,DE,Meta,,privacy-related offenses,damages claim,2025-01-10,0,LG Lübeck,A court granted a data subject injunctive relief in respect of Meta's tracking activities on third-party websites and apps using Meta Business Tools as this lead to unlawful profiling of the data subject.,
14 U 150/23,DE,,,other,"17(1), 17(3)(e)",2020-07-17,0,OLG Karlsruhe,"A court decided that the continued storage of personal data cannot be based on Article 17(3)(e) GDPR if the underlying incident is already documented in legal proceedings, and if the assertion of further claims is completely unlikely.",
4 U 808/24,DE,,,privacy-related offenses,access request violation,2024-12-10,0,OLG Dresden,A court decided that the mere loss of control over personal data following a scraping incident can constitute non-material damage even if no further negative psychological effect is demonstrated.,
62 O 194/23,DE,,,privacy-related offenses,lawful basis violation,2024-12-23,0,LG Aschaffenburg,"A court held that the transfer of personal data on the conclusion of a mobile phone contract to a credit rating agency could be based on a legitimate interest under Article 6(1)(f) GDPR, as the highly automated business sector requires this practice.",
3 Ca 77/24,DE,,,privacy-related offenses,special category data violation,2024-09-09,0,ArbG Duisburg,"A court awarded €10,000 in non-material damages for unlawfully disclosing personal data to thousands of recipients within an association. The sharing of special categories of data in itself constituted a damage.",
5 Ca 663/24,DE,,,privacy-related offenses,lawful basis violation,2024-11-20,0,ArbG Bonn,"A court held, that 1. forwarding of chat traffic by a work council chairman to the HR of a company is lawful insofar it's relevant for examining a complaint and 2. work council members are not controllers when acting within their capacity.",
