enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
VTG24-67822,AU,Westpac,financial services,financial offenses,anti-money-laundering deficiencies,2020-10-21,915970900,Australian Transaction Reports and Analysis Centre-AUSTRAC,The Federal Court of Australia ordered Westpac to pay a A$1.3 billion penalty for an enormous number of breaches of the Anti-Money Laundering and Counter-Terrorism Financing Act 2006. There was also deficiencies in the way it handled transactions that could have been linked to child exploitation.,https://www.austrac.gov.au/news-and-media/our-recent-work/westpac-penalty-ordered
VTG24-67819,AU,Rio Tinto Ltd,mining and minerals,financial offenses,tax violations,2022-07-19,682001000,Australian Taxation Office,The Australian Taxation Office (ATO) can confirm a settlement has been reached with Rio Tinto Ltd. The settlement brings an end to all tax disputes including long standing disputes in relation to Rio's Singapore marketing hub. The settlement brings Rio's total payment in relation to the disputes to almost $1 billion.,https://www.ato.gov.au/media-centre/ato-secures-settlement-of-marketing-hub-tax-dispute
VTG24-67824,AU,Commonwealth Bank of Australia,financial services,financial offenses,anti-money-laundering deficiencies,2018-06-04,529536000,Australian Transaction Reports and Analysis Centre-AUSTRAC,An agreement was reached between AUSTRAC and the Commonwealth Bank of Australia (CBA) for a A$700 million penalty to resolve Federal Court proceedings relating to serious breaches of anti-money laundering and counter-terrorism financing (AML/CTF) laws.,https://www.austrac.gov.au/news-and-media/media-release/austrac-and-cba-agree-700m-penalty
VTG24-67820,AU,BHP,mining and minerals,financial offenses,tax violations,2018-11-19,387457057,Australian Taxation Office,BHP signed an agreement with Australia's tax authorities to settle a long-running dispute over the global miner's operations in Singapore.,https://www.reuters.com/article/us-bhp-tax/bhp-to-pay-390-million-to-australia-tax-authorities-to-help-settle-dispute-over-singapore-hub-idUSKCN1NO0GL/
VTG24-67821,AU,Crown Melbourne and Crown Perth,private equity (including portfolio companies),financial offenses,anti-money-laundering deficiencies,2023-05-31,294189750,Australian Transaction Reports and Analysis Centre-AUSTRAC,"Crown Melbourne and Crown Perth, casinos owned by Crown Resorts, which in turn is owned by Blackstone, agreed to pay a A$450 million penalty to resolve allegations of having breached the Anti-Money Laundering and Counter-Terrorism Financing Act 2006.",https://www.austrac.gov.au/news-and-media/media-release/austrac-and-crown-agree-proposed-450-million-penalty
VTG24-84024,AU,Singtel,diversified,financial offenses,tax violations,2021-12-21,215730255,Australian Taxation Office,"Singapore Telecommunications, or Singtel, announced it would have to pay S$295 million in additional taxes, interest and penalties after losing an appeal of a decision by the Australian Tax Office concerning the acquisition of Cable and Wireless Optus.",https://www.straitstimes.com/business/companies-markets/singtel-flags-295m-exposure-in-tax-case
VTG24-83353,AU,Australia and New Zealand Banking Group Limited,financial services,financial offenses,banking violation,2025-09-15,159890160,Australian Securities and Investments Commission,"ANZ admitted to engaging in unconscionable conduct in services it provided to the Australian Government, incorrectly reporting its bond trading data to the Australian Government by overstating the volumes by tens of billions of dollars and to widespread misconduct across products and services impacting nearly 65,000 customers.",https://www.asic.gov.au/about-asic/news-centre/find-a-media-release/2025-releases/25-201mr-anz-admits-widespread-misconduct-and-agrees-to-pay-240-million-in-penalties/
VTG24-78844,AU,PTT Exploration & Production,oil and gas,environment-related offenses,oil spill,2022-11-22,127486205,Australian Court System,Petroleum operator PTTEP agreed to pay A$192 million to settle litigation brought in Australia by Indonesian seaweed farmers affected by the 2009 Montara offshore drilling explosion and oil spill in the Timor Sea.,https://www.energyvoice.com/oilandgas/462388/pttep-agrees-127m-montara-oil-spill-settlement/
VTG24-67673,AU,Singapore Airlines Cargo Pte Ltd,airlines,competition-related offenses,anti-competitive practices,2012-12-07,122851033,Australian Competition and Consumer Commission,The Federal Court ordered Singapore Airlines to pay $11.75 million in penalties for engaging in cartel conduct in breach of the Trade Practices Act 1974 (now the Competition and Consumer Act 2010).,https://www.accc.gov.au/media-release/cathay-pacific-and-singapore-airlines-to-pay-23-million-in-penalties-for-price-fixing
VTG24-67631,AU,Volkswagen AG,motor vehicles,consumer-protection-related offenses,consumer protection violation,2019-12-20,86199000,Australian Competition and Consumer Commission,"The Federal Court has ordered Volkswagen AG to pay $125 million in penalties, after it declared by consent that Volkswagen breached the Australian Consumer Law by making false representations about compliance with Australian diesel emissions standards.",https://www.accc.gov.au/media-release/court-orders-volkswagen-to-pay-record-125-million-in-penalties
VTG24-76427,AU,BHP,mining and minerals,financial offenses,tax violations,2020-03-10,82327125,Australian Taxation Office,"BHP has lost a High Court appeal in a tax case over its controversial Singapore marketing hub, leaving it with a S$125 million tax bill.",https://www.abc.net.au/news/2020-03-11/bhp-loses-tax-case-over-singapore-marketing-hub/12045610?
VTG24-67602,AU,Qantas Airways Limited,airlines,consumer-protection-related offenses,consumer protection violation,2024-05-05,79305600,Australian Competition and Consumer Commission,Qantas agreed to pay A$20 million in customer compensation and a A$100 million penalty to resolve a lawsuit brought by the ACCC alleging the company sold thousands of tickets for flights that had already been cancelled.,https://www.qantasnewsroom.com.au/media-releases/qantas-reaches-agreement-with-accc-and-commences-customer-remediation-program/
VTG24-83692,AU,Optus Mobile Pty Ltd,diversified,consumer-protection-related offenses,unfair commercial practices,2025-09-24,65966700,Australian Competition and Consumer Commission,"Optus was ordered by the Federal Court to pay a penalty of A$100 million for engaging in unconscionable conduct when selling mobile phones and contracts to hundreds of Australians, and subsequent debt collection in a case brought by the ACCC.",https://www.accc.gov.au/media-release/federal-court-orders-optus-to-pay-100m-penalty-for-unconscionable-conduct
VTG24-80862,AU,Optus Mobile Pty Ltd,diversified,consumer-protection-related offenses,consumer protection violation,2025-06-18,65113000,Australian Competition and Consumer Commission,"Optus admitted to engaging in unconscionable conduct when selling telecommunications goods and services to hundreds of consumers, after court action brought by the ACCC. Many of the affected consumers were vulnerable or experiencing disadvantage, such as living with a mental disability, diminished cognitive capacity or learning difficulties, being financially dependent or unemployed, having limited financial literacy or English not being a first language. Many of the consumers were First Nations Australians from regional, remote and very remote parts of Australia.",https://www.accc.gov.au/media-release/optus-agrees-to-100m-penalty-subject-to-court-approval-for-unconscionable-conduct
VTG24-67716,AU,Westpac Banking Corporation,financial services,financial offenses,investor protection violation,2021-07-02,65085222,Australian Securities and Investments Commission,Westpac committed to remediating customers whose financial advisers may have failed to notify them of corporate actions between 2005 and 2019. Westpac estimated approximately A$87m would be paid in compensation to affected customers who were former clients of Westpac's advice businesses and held ASX-listed securities through platforms.,https://asic.gov.au/about-asic/news-centre/find-a-media-release/2021-releases/21-160mr-westpac-to-remediate-customers-for-failure-to-pass-on-important-corporate-action-information#!page=60&type=media%20releases
VTG24-82022,AU,Qantas Airways Limited,airlines,employment-related offenses,labor standards violation,2025-08-18,58543560,Australian Court System,"An Australian court fined Qantas a record A$90m for illegally sacking more than 1,800 ground workers during the Covid-19 pandemic.",https://www.bbc.com/news/articles/cd0dy7mm0l7o
