enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url,case_name
VTG24-72424,KR,Qualcomm Inc.,miscellaneous manufacturing,competition-related offenses,anti-competitive practices,2016.12.28,847690000,Korea Fair Trade Commission,The KFTC fined Qualcomm and several of its affiliates more than 1 trillion won for failing to live up to its obligation to license essential technology to rival modem chipset producers.,https://www.ftc.go.kr/viewer/synap/skin/doc.html?fn=BBS_201712310139350430&rs=/viewer/synap/preview/,Qualcomm Inc. - anti-competitive practices
VTG24-72554,KR,Kia Motors,motor vehicles,employment-related offenses,labor standards violation,2017.8.31,373494240,South Korean Court System,"A South Korean court ordered Kia to pay about 420 billion won in additional wages as part of the ruling that regular bonuses should be included as part of a base pay used to calculate overtime, compensation for unused annual leave, severance pay and other payments. Kia estimated it might actually cost the company twice that amount.",https://www.reuters.com/article/uk-kia-motors-wages/blow-to-south-korean-carmakers-as-kia-loses-landmark-wage-dispute-idUSKCN1BB08Q/,Kia Motors - labor standards violation
VTG24-72363,KR,Samsung Electronics,electrical and electronic equipment,consumer-protection-related offenses,unfair commercial practices,2021.6.24,206679584,Korea Fair Trade Commission,"The KFTC fined Samsung Electronics and four affiliates were fined over 200 billion won for the improper granting of contracts for in-house cafeteria services to another affiliates, Samsung Welstory.","https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=160&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=41992",Samsung Electronics - unfair commercial practices
VTG24-72360,KR,Google,information technology,competition-related offenses,anti-competitive practices,2021.9.15,177020878,Korea Fair Trade Commission,The KFTC fined Google more than 207 billion won for using its dominant market position to block competing mobile operating systems from entering the market.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=150&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=42108",Google - anti-competitive practices
VTG24-72491,KR,GS Caltex Corp.,oil and gas,competition-related offenses,anti-competitive practices,2011.5.26,160992542,Korea Fair Trade Commission,The KFTC fined four oil refiners for anit-competitive practices involving the allocation of gas stations.,https://www.ftc.go.kr/viewer/synap/skin/doc.html?fn=BBS_201712310139227690&rs=/viewer/synap/preview/,GS Caltex Corp. - anti-competitive practices
VTG24-72494,KR,SK Co.,oil and gas,competition-related offenses,anti-competitive practices,2011.5.26,125322693,Korea Fair Trade Commission,The KFTC fined four oil refiners for anit-competitive practices involving the allocation of gas stations.,https://www.ftc.go.kr/viewer/synap/skin/doc.html?fn=BBS_201712310139227690&rs=/viewer/synap/preview/,SK Co. - anti-competitive practices
VTG24-72530,KR,Hyundai Oilbank Corp.,heavy equipment,environment-related offenses,waste violation,2023.1.6,118518067,Ministry of Environment,Hyundai Oilbank disclosed that it had been told by the Ministry of Environment that the company would be fined more than 150 billion won for discharging wastewater containing more toxic substances than allowed under regulations.,(click here).,Hyundai Oilbank Corp. - waste violation
VTG24-81553,KR,Coupang Inc.,retailing,competition-related offenses,anti-competitive practices,2024.6.27,100538200,Korea Fair Trade Commission,Coupang was fined for manipulating its in-app alogorithm to favor sales of its private-label products.,https://www.ftc.go.kr/eng/selectBbsNttView.do?key=563&bordCd=821&nttSn=13572,Coupang Inc. - anti-competitive practices
VTG24-83475,KR,SK Telecom,electrical and electronic equipment,consumer-protection-related offenses,privacy violation,2025.9.3,96635424,Personal Information Protection Commission,SK Telecom was fined in connection with a data breach that affected more than 20 million customers.,https://www.pipc.go.kr/eng/user/ltn/new/noticeDetail.do?bbsId=BBSMSTR_000000000001&nttId=2877,SK Telecom - privacy violation
VTG24-72480,KR,Samsung Electronics Corp.,electrical and electronic equipment,competition-related offenses,anti-competitive practices,2011.10.28,86056894,Korea Fair Trade Commission,The KFTC fined a group of electronics companies for price-fixing of thin film crystal transistor liquid displays.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=523&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=37793",Samsung Electronics Corp. - anti-competitive practices
VTG24-72456,KR,"Hyundai Motor Co., Ltd.",motor vehicles,competition-related offenses,anti-competitive practices,2013.7.29,67677823,Korea Fair Trade Commission,The KFTC fined a group of producers of heavy-duty commercial vehicles for price-fixing and other anti-competitive practices.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=459&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=38502","Hyundai Motor Co., Ltd. - anti-competitive practices"
VTG24-72492,KR,Hyundai Oilbank Corp.,heavy equipment,competition-related offenses,anti-competitive practices,2011.5.26,67592961,Korea Fair Trade Commission,The KFTC fined four oil refiners for anit-competitive practices involving the allocation of gas stations.,https://www.ftc.go.kr/viewer/synap/skin/doc.html?fn=BBS_201712310139227690&rs=/viewer/synap/preview/,Hyundai Oilbank Corp. - anti-competitive practices
VTG24-72356,KR,Hyundai Steel,metals,competition-related offenses,anti-competitive practices,2022.8.11,66352487,Korea Fair Trade Commission,The KFTC fined Hyundai Steel for price-fixing of rebar.,https://koreajoongangdaily.joins.com/2022/08/11/business/industry/korea-hyundai-steel-fine/20220811175550623.html,Hyundai Steel - anti-competitive practices
VTG24-72531,KR,Mercedes-Benz Korea,motor vehicles,environment-related offenses,air pollution violation,2020.5.6,63502253,Ministry of Environment,Mercedez-Benz was fined over 77 billion won for manipulating emissions data on its diesel vehicles.,https://www.koreaherald.com/article/2301930,Mercedes-Benz Korea - air pollution violation
VTG24-72477,KR,LG Display Corp.,electrical and electronic equipment,competition-related offenses,anti-competitive practices,2011.10.28,58371126,Korea Fair Trade Commission,The KFTC fined a group of electronics companies for price-fixing of thin film crystal transistor liquid displays.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=523&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=37793",LG Display Corp. - anti-competitive practices
VTG24-82153,KR,SK Telecom,electrical and electronic equipment,consumer-protection-related offenses,telecommunications violation,2013.12.1,52865120,Korea Communications Commission,SK Telecom was fined for offering excessive subsidies to subscribers.,https://koreajoongangdaily.joins.com/2014/08/21/industry/Supersized-subsidies-lead-to-more-telecom-fines/2993881.html,SK Telecom - telecommunications violation
VTG24-72548,KR,Google,information technology,consumer-protection-related offenses,privacy violation,2022.9.14,50005996,Personal Information Protection Commission,The PIPC fined Google for violating the Personal Information Protection Act by collecting users' personal information and using it for online targeted advertisements without consent.,https://www.pipc.go.kr/eng/user/ltn/new/noticeDetail.do?bbsId=BBSMSTR_000000000001&nttId=1901,Google - privacy violation
